StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInTheSemester
0054,13,1,9
0054,13,2,10
0054,13,3,1
0054,13,4,8
0054,13,5,8
0054,13,6,8
0054,13,7,8
0054,13,8,1
0054,13,9,1
0054,13,10,7
0054,13,11,6
0054,13,12,1
0054,13,13,1
0056,13,1,9
0056,13,2,9
0056,13,3,8
0056,13,4,9
0056,13,5,2
0056,13,6,7
0056,13,7,9
0056,13,8,1
0056,13,9,6
0056,13,10,6
0056,13,11,1
0056,13,12,1
0056,13,13,2
0117,11,1,10
0117,11,2,8
0117,11,3,1
0117,11,4,9
0117,11,5,9
0117,11,6,8
0117,11,7,9
0117,11,8,1
0117,11,9,8
0117,11,10,1
0117,11,11,1
0119,18,1,9
0119,18,2,10
0119,18,3,9
0119,18,4,7
0119,18,5,1
0119,18,6,1
0119,18,7,8
0119,18,8,8
0119,18,9,1
0119,18,10,1
0119,18,11,5
0119,18,12,5
0119,18,13,1
0119,18,14,2
0119,18,15,2
0119,18,16,1
0119,18,17,1
0119,18,18,1
0121,13,1,9
0121,13,2,10
0121,13,3,8
0121,13,4,8
0121,13,5,8
0121,13,6,7
0121,13,7,2
0121,13,8,6
0121,13,9,7
0121,13,10,1
0121,13,11,1
0121,13,12,7
0121,13,13,1
0123,11,1,10
0123,11,2,8
0123,11,3,9
0123,11,4,8
0123,11,5,8
0123,11,6,9
0123,11,7,7
0123,11,8,8
0123,11,9,7
0123,11,10,1
0123,11,11,1
0124,11,1,9
0124,11,2,11
0124,11,3,1
0124,11,4,10
0124,11,5,9
0124,11,6,9
0124,11,7,9
0124,11,8,1
0124,11,9,7
0124,11,10,3
0124,11,11,1
0127,13,1,10
0127,13,2,9
0127,13,3,7
0127,13,4,6
0127,13,5,2
0127,13,6,9
0127,13,7,8
0127,13,8,2
0127,13,9,6
0127,13,10,6
0127,13,11,4
0127,13,12,1
0127,13,13,1
0136,10,1,10
0136,10,2,9
0136,10,3,9
0136,10,4,9
0136,10,5,8
0136,10,6,1
0136,10,7,7
0136,10,8,6
0136,10,9,4
0136,10,10,2
0138,14,1,9
0138,14,2,8
0138,14,3,8
0138,14,4,2
0138,14,5,7
0138,14,6,9
0138,14,7,9
0138,14,8,1
0138,14,9,2
0138,14,10,8
0138,14,11,8
0138,14,12,1
0138,14,13,5
0138,14,14,2
0139,14,1,9
0139,14,2,10
0139,14,3,1
0139,14,4,8
0139,14,5,8
0139,14,6,1
0139,14,7,1
0139,14,8,8
0139,14,9,8
0139,14,10,8
0139,14,11,3
0139,14,12,1
0139,14,13,1
0139,14,14,1
0140,10,1,9
0140,10,2,9
0140,10,3,9
0140,10,4,8
0140,10,5,9
0140,10,6,8
0140,10,7,5
0140,10,8,1
0140,10,9,5
0140,10,10,1
0141,8,1,9
0141,8,2,10
0141,8,3,8
0141,8,4,8
0141,8,5,7
0141,8,6,9
0141,8,7,5
0141,8,8,5
0143,13,1,9
0143,13,2,10
0143,13,3,8
0143,13,4,10
0143,13,5,1
0143,13,6,1
0143,13,7,9
0143,13,8,8
0143,13,9,7
0143,13,10,1
0143,13,11,7
0143,13,12,2
0143,13,13,1
0145,10,1,9
0145,10,2,9
0145,10,3,9
0145,10,4,8
0145,10,5,10
0145,10,6,8
0145,10,7,9
0145,10,8,2
0145,10,9,2
0145,10,10,2
0147,10,1,10
0147,10,2,10
0147,10,3,8
0147,10,4,8
0147,10,5,1
0147,10,6,9
0147,10,7,8
0147,10,8,4
0147,10,9,5
0147,10,10,5
0151,9,1,10
0151,9,2,9
0151,9,3,9
0151,9,4,8
0151,9,5,2
0151,9,6,10
0151,9,7,9
0151,9,8,7
0151,9,9,6
0156,16,1,9
0156,16,2,9
0156,16,3,1
0156,16,4,9
0156,16,5,8
0156,16,6,2
0156,16,7,7
0156,16,8,8
0156,16,9,1
0156,16,10,1
0156,16,11,6
